,Unnamed: 0.1,Job Title,Company,location,site,jobtype,health_insurance,Dental_insurance,years of experience,benefits_401k,stocks,date_posted,lower_limit_salary,upper_limit_salary
873,873,Medical Education Data Analyst,University of California - Riverside,Oakland,Diversity Jobs,"Full-time, Part-time, and Contractor",0,0,0,1,1,5,61000,107000.0
875,875,It Data Analyst,Matal,San Jose,OPTnation,Full-time,0,0,3,0,1,30,51000,62000.0
879,879,Data security analyst jobs in atlanta ga,Google,Mountain View,Prominentsportssouth.com,Full-time,0,0,0,0,0,4,76800,76800.0
883,883,"Data Analyst, E-commerce",TikTok,San Jose,DataAnalyst.com,Full-time,0,0,3,1,1,2,153000,296000.0
885,885,"AIML - Sr Data Scientist, AIML Data",Apple,Cupertino,Careers At Apple,Contractor,1,1,5,0,1,30,143100,264200.0
887,887,Data & Business Intelligence Analyst,Candidate Portal,Anywhere • via ZipRecruiter,ZipRecruiter,Full-time,1,1,7,0,0,17,94080,111360.0
889,889,"Senior Data Analyst, Expenses",Navan,Palo Alto,DataAnalyst.com,Full-time,0,0,5,0,0,2,160000,200000.0
892,892,Business Reporting Analyst,Apple,Santa Clara,JobzMall,Full-time,0,0,0,0,0,30,74000,95000.0
893,893,Health Information Management Data Analyst I,Health Plan of San Mateo,South San Francisco,Indeed,Full-time,1,1,0,0,1,30,21120,188160.0
894,894,"Analytic Product Operation, Data Platform",TikTok,San Jose,Glassdoor,Full-time,1,1,0,0,1,30,72960,126720.0
897,897,User Growth TikTok Shop Data Analyst - USDS,TikTok,Mountain View,LinkedIn,"Full-time, Part-time, and Contractor",1,1,3,0,1,19,400,339840.0
898,898,Data Aide 2,School of Medicine,Stanford,Stanford Medicine - Stanford University,Full-time,0,0,0,0,1,30,59520,67200.0
899,899,Salesforce Data Analyst,Apollose,San Jose,OPTnation,Full-time,0,0,0,0,0,30,103000,104000.0
900,900,"Associate Director, Data Analyst",Stanford University,Stanford,ZipRecruiter,Full-time,1,0,0,0,0,4,104358,128038.0
901,901,"Data Analyst, Operations",One Workplace,Santa Clara,DataAnalyst.com,Full-time,0,0,5,1,1,2,507,138240.0
902,902,Data Analytics Engineer,Natron Energy,Santa Clara,LinkedIn,Full-time,1,1,2,1,1,30,106500,155500.0
904,904,Junior Administrative Analyst (Policy & Data Development Unit) - Office of the Chief Strategy Officer - SF Municipal Transportation Agency (1820),City and County of San Francisco,San Francisco,SF Careers,Full-time,0,0,0,0,0,30,75608,91936.0
906,906,"Research Data Analyst (Hybrid Opportunity, 2 Year Fixed Term)",Stanford University,Palo Alto,Ladders,Full-time,0,0,2,1,1,2,82468,106256.0
907,907,Senior Data Analyst,Harvey,San Francisco,Adzuna,Part-time,1,1,9,1,1,30,155000,220000.0
908,908,Sr Data Analyst,Atechstar,San Jose,OPTnation,Full-time,0,0,0,1,1,30,106000,108000.0
909,909,Staff Data Analyst,10x Genomics,Pleasanton,ZipRecruiter,Full-time,1,0,7,0,1,30,186000,252000.0
910,910,Survey Data Analyst,Survey Junkie,Sunnyvale,Lively Vacancies,Full-time,0,0,8,0,1,4,249600,249600.0
911,911,"Lead Analyst, Lifecycle Marketing",Docusign,San Francisco,Docusign Careers,Full-time,1,1,8,0,1,30,134900,216975.0
912,912,"Data Analyst, Program",LifeMoves,Menlo Park,DataAnalyst.com,Full-time,0,0,0,0,1,2,75000,100000.0
913,913,Senior Data Analyst,Visa Inc.,Foster City,Karkidi,Full-time,0,0,0,0,1,30,160000,240000.0
916,916,Anti-Fraud Data Analyst - USDS,TikTok,Mountain View,LinkedIn,Full-time,1,1,1,0,1,29,86000,155000.0
917,917,"Data Analyst, Autonomy",Rivian,Palo Alto,DataAnalyst.com,Contractor,0,0,5,0,1,9,94000,108000.0
918,918,Survey Data Analyst,Survey Junkie,Santa Clara,Lively Vacancies,Full-time,0,0,8,1,0,4,249600,249600.0
919,919,SENIOR DATA ANALYST,North East Medical Services,Daly City,Glassdoor,Full-time,1,1,5,1,0,30,784,289920.0
920,920,Data quality analyst remote jobs,Google,Mountain View,E-Profitcenter.com,Contractor,0,0,0,1,0,4,76800,76800.0
921,921,Vice President - Cloudera Data Analytics,Cloudera,San Francisco,JobzMall,Full-time,0,0,0,0,1,30,170000,220000.0
922,922,Data Analyst II,Pinterest,San Francisco,ZipRecruiter,Full-time,0,0,3,0,1,11,114000,200000.0
923,923,Data Analyst 2,"Ursus, Inc.",San Francisco,Indeed,Part-time,0,0,0,0,1,25,67200,86400.0
924,924,"Data Scientist, Product Analytics - Machine Learning",Meta,Sunnyvale,LinkedIn,Full-time,1,0,6,0,1,2,173000,242000.0
925,925,Data Science Analyst,eBay,San Francisco,Karkidi,Full-time,0,0,3,0,1,30,120000,190000.0
926,926,Survey Data Analyst,Survey Junkie,Redwood City,Lively Vacancies,Contractor,0,0,8,0,1,4,249600,249600.0
927,927,Senior Data Analyst,Zynga,• via GameJobs.co,GameJobs.co,Contractor,1,1,4,0,1,30,105000,155000.0
928,928,"Data Analyst, Staff",Bill,San Jose,DataAnalyst.com,Part-time,0,0,6,0,1,9,127000,152000.0
931,931,Survey Data Analyst,Survey Junkie,San Carlos,Lively Vacancies,Full-time,0,0,8,0,0,4,249600,249600.0
934,934,"Senior Data Analyst, Advanced Analytics",Gap Inc.,San Francisco,Karkidi,Part-time,1,1,0,1,1,30,160000,240000.0
935,935,"Senior Data Analyst, Corporate FP&A",Barracuda,Campbell,DataAnalyst.com,Contractor,0,0,4,1,1,4,114000,136000.0
937,937,Survey Data Analyst,Survey Junkie,Oakland,Lively Vacancies,Full-time,0,0,8,0,0,4,249600,249600.0
938,938,Junior Data Analyst - (Entry Level),SynergisticIT,San Francisco,LinkedIn,Contractor,0,0,0,0,0,30,192000,192000.0
939,939,Survey Data Analyst,Survey Junkie,South San Francisco,Lively Vacancies,Part-time,0,0,8,0,0,4,249600,249600.0
941,941,"Senior Data Analyst, CX",Bill,San Jose,DataAnalyst.com,Full-time,0,0,3,0,0,9,100000,132000.0
942,942,Entry Level Data Analyst/Engineer,SynergisticIT,San Francisco,LinkedIn,Full-time,0,0,0,0,0,30,192000,192000.0
943,943,Survey Data Analyst,Survey Junkie,San Bruno,Lively Vacancies,Part-time,0,0,8,0,0,4,249600,249600.0
944,944,Technical Data Analyst - Full time -W2 Consultants Only,ZIRLEN TECHNOLOGIES INCORPORATED,Mountain View,ZipRecruiter,Full-time,0,0,0,0,1,11,230400,230400.0
945,945,"Data Scientist, Product Analytics",Meta,Sunnyvale,LinkedIn,Full-time,1,0,2,0,1,22,114000,171000.0
946,946,Provider Data Analyst II,Central California Alliance for Health (Remote),Hollister,Glassdoor,Full-time,1,1,0,0,1,9,450,203520.0
947,947,Survey Data Analyst,Survey Junkie,Half Moon Bay,Lively Vacancies,Contractor,0,0,8,0,1,4,249600,249600.0
949,949,Data Science Analyst,Claritas Rx,South San Francisco,LinkedIn,Contractor,0,0,2,0,0,29,75000,110000.0
951,951,Data Science Specialist,eJAmerica,Mountain View,LinkedIn,Full-time,0,0,5,1,1,17,105600,124800.0
952,952,"Senior Manager, Data Analytics - Walmart Connect Advertising Sales",Walmart,Redwood City,ZipRecruiter,Contractor,1,1,6,1,1,3,108000,216000.0
953,953,Data Analyst 2,"Ursus, Inc.",San Francisco,LinkedIn,Full-time,0,0,0,1,1,25,67200,86400.0
