,Unnamed: 0.1,Job Title,Company,location,site,jobtype,health_insurance,Dental_insurance,years of experience,benefits_401k,stocks,date_posted,lower_limit_salary,upper_limit_salary
30,30,Retirement Solutions Researcher - Actuarial and Quantitative Finance,Blackrock,San Francisco,Get.It,Full-time and Contractor,1,0,5,0,0,8,148000,210000.0
31,31,Policy Analyst: Quantitative | Stanford University,Stanford University,Stanford,Jooble,Full-time,1,0,2,0,0,24,76000,95000.0
33,33,Quantitative Revenue Analyst,YouTube,San Bruno,JobzMall,Full-time,0,0,0,0,0,30,63000,72000.0
34,34,Financial Analyst,Robert Half,Berkeley,Robert Half,Full-time,0,0,0,0,0,18,75000,80000.0
35,35,"Director, Quant Development",Fidelity Investments,San Francisco,JobzMall,Full-time,0,0,0,0,1,30,180000,250000.0
36,36,Quantitative Developer,Point72,San Francisco,LinkedIn,Full-time,1,0,0,0,1,16,150000,250000.0
37,37,Associate Quantitative Analytics & Forecasting Director,Exelixis,Oakland,Learn4Good,Full-time,0,0,7,0,1,3,151000,214000.0
40,40,Crypto investment analyst jobs,Google,Mountain View,Coyodywoodcraft.com,Full-time,0,0,0,1,1,4,76800,76800.0
41,41,Book Portfolio Manager,WorldQuant,San Francisco,LinkedIn,Full-time,1,1,2,1,0,20,150000,200000.0
42,42,"Analysis & Modeling Risk Analyst, Expert",PG&E Corporation,Auburn,Glassdoor,Full-time,0,0,0,1,0,27,116000,194000.0
43,43,Financial Analyst,NuFarm,West Sacramento,Indeed,Full-time,0,0,0,1,0,30,70000,110000.0
45,45,"Associate, Quantitative Researcher",BlackRock,San Francisco,JobzMall,Full-time,0,0,0,1,1,30,150000,250000.0
47,47,"Staff Quantitative Product Researcher, Shopping",Pinterest,Anywhere • via Indeed,Indeed,Full-time,0,0,5,1,1,30,288000,278.0
51,51,Senior Quantitative Researcher - Brand & Reputation,Netflix,Los Angeles,JobzMall,Full-time,0,0,0,0,0,30,116000,165000.0
53,53,Senior Quantitative Researcher - Futures,Algo Capital Group,United States • via LinkedIn,LinkedIn,Full-time,0,0,0,0,0,14,450,750.0
54,54,"Associate, Quantitative Researcher",BlackRock,Los Angeles,JobzMall,Full-time,0,0,0,0,0,30,98000,125000.0
57,57,Quantitative Researcher with QResearch Software Expertise,Upwork,Anywhere • via Upwork,Upwork,Contractor,0,0,0,0,0,5,28800,76800.0
59,59,Quantitative Research - Global Clearing - Associate,JPMorganChase,United States • via Glassdoor,Glassdoor,Full-time,1,1,0,0,0,11,95000,125000.0
62,62,Systematic Credit Quantitative Researcher,GQR,New York,GQR,Full-time,1,0,3,0,1,30,200000,270000.0
64,64,"Quantitative Research Analyst - Jersey City, NJ",Stevens Capital Management LP,Jersey City,ZipRecruiter,Full-time,1,1,0,1,1,30,150000,300000.0
